time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2019-02-08T06:07:46.731Z,12.841797,80.157297,,23.486,,,0,network,,,,,,,,84,
2019-02-08T06:09:09.861Z,12.841818,80.157290,,23.318,,,0,network,,,,,,,,84,
2019-02-08T06:10:31.342Z,12.841805,80.157283,,23.416,,,0,network,,,,,,,,83,
2019-02-08T06:11:24.589Z,12.841810,80.157291,,23.509,,,0,network,,,,,,,,83,
2019-02-08T06:12:44.189Z,12.841816,80.157266,-67.4000015258789,24.335,,,0,network,,,,,,,,83,
2019-02-08T06:14:19.193Z,12.841849,80.157273,-61.5,26.543,,,0,network,,,,,,,,83,
2019-02-08T06:16:50.410Z,12.841849,80.157273,-61.5,26.594,,,0,network,,,,,,,,83,
2019-02-08T06:21:50.471Z,12.841815,80.157288,,23.268,,,0,network,,,,,,,,82,
2019-02-08T06:22:55.260Z,12.841815,80.157288,,23.276,,,0,network,,,,,,,,82,
2019-02-08T06:23:57.262Z,12.841811,80.157280,,24.008,,,0,network,,,,,,,,82,
2019-02-08T06:25:01.954Z,12.841811,80.157280,,23.151,,,0,network,,,,,,,,82,
2019-02-08T06:26:23.874Z,12.841815,80.157288,,23.165,,,0,network,,,,,,,,82,
2019-02-08T06:27:25.839Z,12.841815,80.157288,,23.195,,,0,network,,,,,,,,81,
2019-02-08T06:29:01.811Z,12.841811,80.157280,,24.114,,,0,network,,,,,,,,81,
2019-02-08T06:30:09.981Z,12.841815,80.157288,,24.152,,,0,network,,,,,,,,81,
2019-02-08T06:36:50.409Z,12.841815,80.157287,,23.289,,,0,network,,,,,,,,80,
2019-02-08T06:41:50.688Z,12.841814,80.157286,,24.269,,,0,network,,,,,,,,80,
2019-02-08T06:47:07.033Z,12.841802,80.157257,-67.30000305175781,22.969,,,0,network,,,,,,,,79,
2019-02-08T06:48:29.073Z,12.841806,80.157248,-67.30000305175781,23.945,,,0,network,,,,,,,,79,
2019-02-08T06:50:01.793Z,12.841821,80.157235,-67.4000015258789,23.384,,,0,network,,,,,,,,79,
2019-02-08T06:51:22.303Z,12.841805,80.157281,,24.379,,,0,network,,,,,,,,78,
2019-02-08T06:54:32.703Z,12.841811,80.157281,,23.115,,,0,network,,,,,,,,78,
2019-02-08T06:56:57.273Z,12.841814,80.157275,,24.081,,,0,network,,,,,,,,78,
2019-02-08T06:58:29.444Z,12.841803,80.157276,-67.30000305175781,24.16,,,0,network,,,,,,,,77,
2019-02-08T07:06:50.669Z,12.841806,80.157268,-67.30000305175781,23.988,,,0,network,,,,,,,,77,
2019-02-08T07:11:51.796Z,12.841806,80.157268,-67.30000305175781,22.992,,,0,network,,,,,,,,77,
2019-02-08T07:16:50.664Z,12.841806,80.157269,-67.30000305175781,22.879,,,0,network,,,,,,,,76,
2019-02-08T07:21:50.884Z,12.841814,80.157286,,24.32,,,0,network,,,,,,,,76,
2019-02-08T07:26:50.642Z,12.841815,80.157288,,23.21,,,0,network,,,,,,,,75,
2019-02-08T07:28:02.171Z,12.841815,80.157288,,23.183,,,0,network,,,,,,,,75,
2019-02-08T07:29:17.042Z,12.841815,80.157288,,23.175,,,0,network,,,,,,,,74,
2019-02-08T07:30:02.070Z,12.841815,80.157288,,23.222,,,0,network,,,,,,,,74,
2019-02-08T07:31:50.873Z,12.841815,80.157288,,23.258,,,0,network,,,,,,,,74,
2019-02-08T07:33:02.182Z,12.841802,80.157257,-67.30000305175781,22.63,,,0,network,,,,,,,,74,
2019-02-08T07:34:24.453Z,12.841822,80.157257,-67.4000015258789,23.929,,,0,network,,,,,,,,73,
2019-02-08T07:36:02.161Z,12.841815,80.157288,,23.273,,,0,network,,,,,,,,73,
2019-02-08T07:37:38.691Z,12.841815,80.157288,,23.224,,,0,network,,,,,,,,73,
2019-02-08T07:39:02.237Z,12.841797,80.157255,-67.30000305175781,22.83,,,0,network,,,,,,,,72,
2019-02-08T07:40:04.260Z,12.841794,80.157260,-67.30000305175781,24.094,,,0,network,,,,,,,,72,
2019-02-08T07:42:09.589Z,12.841810,80.157278,-67.30000305175781,24.257,,,0,network,,,,,,,,72,
2019-02-08T07:43:09.182Z,12.841825,80.157289,,24.499,,,0,network,,,,,,,,72,
2019-02-08T07:46:02.031Z,12.841851,80.157279,-67.30000305175781,23.563,,,0,network,,,,,,,,71,
2019-02-08T07:48:01.908Z,12.841851,80.157278,-67.30000305175781,24.839,,,0,network,,,,,,,,71,
